id;nombre_receta;categoria;tiempo_preparacion_min;dificultad;ingredientes;instrucciones
1;Ensalada de Quinoa con Vegetales;Saludable;20;Fácil;Quinoa, pepino, tomate cherry, pimiento rojo, cebolla morada, aceite de oliva, jugo de limón, sal, pimienta;1. Cocina la quinoa y deja enfriar. 2. Pica los vegetales. 3. Mezcla todo con el aderezo.
2;Salmón al Horno con Espárragos;Saludable;30;Fácil;Filete de salmón, espárragos, aceite de oliva, ajo en polvo, sal, pimienta, rodajas de limón;1. Precalienta el horno a 200°C. 2. Coloca el salmón y los espárragos en una bandeja. 3. Sazona y hornea por 15-20 minutos.
3;Pasta Carbonara;Rápida;25;Media;Spaghetti, huevo, queso Parmigiano, panceta, pimienta negra;1. Cocina la pasta. 2. Dora la panceta. 3. Mezcla los huevos y el queso. 4. Combina todo con la pasta caliente.
4;Brownies de Chocolate;Postres;40;Fácil;Mantequilla, azúcar, huevos, harina, cacao en polvo, sal;1. Derrite la mantequilla y mezcla con el azúcar. 2. Añade los huevos y la vainilla. 3. Incorpora la harina
5;Guacamole Casero;Rápida;10;Fácil;Aguacates maduros, cebolla, tomate, cilantro, jugo de limón, sal;1. Machaca los aguacates. 2. Pica finamente el resto de los ingredientes. 3. Mezcla todo y sazona al gusto.
6;Sopa de Lentejas;Saludable;45;Media;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;1. Sofríe las verduras picadas. 2. Añade las lentejas y el caldo. 3. Cocina a fuego lento hasta que las lentejas estén blandas.
7;Tacos de Pollo;Rápida;30;Fácil;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos;1. Cocina y desmenuza el pollo. 2. Calienta las tortillas. 3. Sirve el pollo con los vegetales y los aderezos.
8;Smoothie de Frutas;Saludable;5;Fácil;Banano, fresas, yogur, leche, miel;1. Coloca todos los ingredientes en una licuadora. 2. Licúa hasta obtener una mezcla homogénea.
9;Panqueques con Frutas;Rápida;15;Fácil;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano;1. Mezcla los ingredientes secos. 2. En otro recipiente
10;Arroz Frito con Verduras;Rápida;20;Fácil;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo;1. Sofríe las verduras en un wok. 2. Añade el arroz y la salsa de soya. 3. Incorpora el huevo revuelto.
11;Crema de Tomate;Saludable;35;Fácil;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y mezcla con la crema.
